2011-09-27 20:00:50 directory css/
2011-09-27 20:00:51    create css/style.css 
2011-09-28 13:23:20 overwrite css/style.css 
2011-09-28 13:23:59 overwrite css/style.css 
2011-09-28 13:25:18 overwrite css/style.css 
2011-09-28 13:25:50 overwrite css/style.css 
2011-09-28 13:26:06 overwrite css/style.css 
2011-09-28 13:26:33 overwrite css/style.css 
2011-09-28 13:27:55 overwrite css/style.css 
2011-09-28 13:28:39     error sass/style.scss (Line 28: Undefined mixin 'allerta-stencil-font'.)
2011-09-28 13:28:39 overwrite css/style.css 
2011-09-28 13:28:51 overwrite css/style.css 
2011-09-28 13:29:24 overwrite css/style.css 
2011-09-28 13:29:50 overwrite css/style.css 
2011-09-28 13:31:09 overwrite css/style.css 
2011-09-28 13:31:52 overwrite css/style.css 
2011-09-28 13:33:24 overwrite css/style.css 
2011-09-28 13:33:28 overwrite css/style.css 
2011-09-28 14:13:20     error sass/style.scss (Line 28: "cyan" is not a color for `rgba')
2011-09-28 14:13:20 overwrite css/style.css 
2011-09-28 14:15:47 overwrite css/style.css 
2011-09-28 14:23:35 overwrite css/style.css 
2011-09-28 14:24:10 overwrite css/style.css 
2011-09-28 14:25:12 overwrite css/style.css 
2011-09-28 14:25:34 overwrite css/style.css 
2011-09-28 14:26:20 overwrite css/style.css 
2011-09-28 14:26:55 overwrite css/style.css 
2011-09-28 15:32:43 overwrite css/style.css 
2011-09-28 15:33:04 overwrite css/style.css 
2011-09-28 15:34:18 overwrite css/style.css 
2011-09-28 15:36:32 overwrite css/style.css 
2011-09-28 15:36:47 overwrite css/style.css 
2011-09-28 15:37:06 overwrite css/style.css 
2011-09-28 15:40:00 identical css/style.css 
2011-09-28 16:00:19 overwrite css/style.css 
2011-09-28 16:00:38 overwrite css/style.css 
2011-09-28 16:00:57 overwrite css/style.css 
2011-09-28 16:01:32 overwrite css/style.css 
2011-09-28 16:37:11 overwrite css/style.css 
2011-09-28 21:16:22 overwrite css/style.css 
2011-09-28 21:18:12 overwrite css/style.css 
2011-09-28 21:18:18 overwrite css/style.css 
2011-09-28 21:18:55 overwrite css/style.css 
2011-09-28 21:19:46 overwrite css/style.css 
2011-09-28 21:20:22 overwrite css/style.css 
2011-09-28 21:21:08 overwrite css/style.css 
2011-09-28 21:21:44 overwrite css/style.css 
2011-09-28 21:22:02 overwrite css/style.css 
2011-09-28 21:22:40 overwrite css/style.css 
2011-09-28 21:23:02 overwrite css/style.css 
2011-09-29 00:44:18 overwrite css/style.css 
2011-09-29 00:45:53     error sass/style.scss (Line 40: Undefined mixin 'single-transition'.)
2011-09-29 00:45:53 overwrite css/style.css 
2011-09-29 00:46:30     error sass/style.scss (Line 41: Undefined mixin 'single-transition'.)
2011-09-29 00:46:30 overwrite css/style.css 
2011-09-29 00:47:13     error sass/style.scss (Line 41: Undefined mixin 'single-transition'.)
2011-09-29 00:47:13 identical css/style.css 
2011-09-29 00:48:32 overwrite css/style.css 
2011-09-29 00:48:57 overwrite css/style.css 
2011-09-29 00:49:01 overwrite css/style.css 
2011-09-29 00:53:23 overwrite css/style.css 
2011-09-29 00:55:46 overwrite css/style.css 
2011-09-29 00:56:17 overwrite css/style.css 
2011-09-29 00:57:18 overwrite css/style.css 
2011-09-29 00:59:33 overwrite css/style.css 
2011-09-29 01:00:48 overwrite css/style.css 
2011-09-29 01:01:12 identical css/style.css 
2011-09-29 01:01:48 overwrite css/style.css 
2011-09-29 01:02:18 overwrite css/style.css 
2011-09-29 01:03:38 overwrite css/style.css 
2011-09-29 01:06:10 overwrite css/style.css 
2011-09-29 01:06:31 overwrite css/style.css 
2011-09-29 01:06:50 overwrite css/style.css 
2011-09-29 01:07:25 overwrite css/style.css 
2011-09-29 01:07:33 overwrite css/style.css 
2011-09-29 01:08:39 overwrite css/style.css 
2011-09-29 01:08:41 overwrite css/style.css 
2011-09-29 01:09:24 overwrite css/style.css 
2011-09-29 01:10:23 overwrite css/style.css 
2011-09-29 01:11:51 overwrite css/style.css 
2011-09-29 01:13:24 overwrite css/style.css 
2011-09-29 01:15:28 overwrite css/style.css 
2011-09-29 01:15:42 overwrite css/style.css 
2011-09-29 01:16:34 overwrite css/style.css 
2011-09-29 01:17:17 overwrite css/style.css 
2011-09-29 13:36:06 overwrite css/style.css 
2011-09-29 13:37:56 overwrite css/style.css 
2011-09-29 13:38:13 overwrite css/style.css 
2011-09-29 13:38:39 overwrite css/style.css 
2011-09-29 13:38:50 overwrite css/style.css 
2011-09-29 13:39:27 overwrite css/style.css 
2011-09-29 13:40:02 overwrite css/style.css 
2011-09-29 13:41:40 overwrite css/style.css 
2011-09-29 13:41:55 overwrite css/style.css 
2011-09-29 13:42:51 overwrite css/style.css 
2011-09-29 13:43:10 overwrite css/style.css 
2011-09-29 13:44:55 overwrite css/style.css 
2011-09-29 13:45:04 overwrite css/style.css 
2011-09-29 13:45:23 identical css/style.css 
2011-09-29 13:45:40 overwrite css/style.css 
2011-09-29 13:46:17 overwrite css/style.css 
2011-09-29 13:46:39 overwrite css/style.css 
2011-09-29 13:46:43 overwrite css/style.css 
2011-09-29 13:47:36 overwrite css/style.css 
2011-09-29 13:47:52 overwrite css/style.css 
2011-09-29 13:48:14 overwrite css/style.css 
2011-09-29 13:49:28 overwrite css/style.css 
2011-09-29 13:49:43 overwrite css/style.css 
2011-09-29 13:50:15 overwrite css/style.css 
2011-09-29 13:50:23 overwrite css/style.css 
2011-09-29 13:51:02 overwrite css/style.css 
2011-09-29 13:51:45 overwrite css/style.css 
2011-09-29 13:52:29 overwrite css/style.css 
2011-09-29 13:54:00 overwrite css/style.css 
2011-09-29 13:54:12 overwrite css/style.css 
2011-09-29 13:55:19 overwrite css/style.css 
2011-09-29 14:00:25 overwrite css/style.css 
2011-09-29 14:29:52 overwrite css/style.css 
2011-09-29 19:41:58 overwrite css/style.css 
2011-09-29 19:43:03 overwrite css/style.css 
2011-09-29 19:43:05 overwrite css/style.css 
2011-09-29 19:43:06 overwrite css/style.css 
2011-09-29 19:43:46 overwrite css/style.css 
2011-09-29 19:44:36 overwrite css/style.css 
2011-09-29 19:46:03 overwrite css/style.css 
2011-09-29 19:46:29 overwrite css/style.css 
2011-09-29 19:47:04 overwrite css/style.css 
2011-09-29 19:48:17 overwrite css/style.css 
2011-09-29 19:55:01 overwrite css/style.css 
2011-09-30 00:07:24 overwrite css/style.css 
2011-09-30 00:08:15 overwrite css/style.css 
2011-09-30 00:09:55 overwrite css/style.css 
2011-09-30 00:11:55 overwrite css/style.css 
2011-09-30 00:12:39 overwrite css/style.css 
2011-09-30 00:20:35 overwrite css/style.css 
2011-09-30 00:23:32 overwrite css/style.css 
2011-09-30 00:24:28 identical css/style.css 
2011-09-30 00:25:01 overwrite css/style.css 
2011-09-30 00:25:22 overwrite css/style.css 
2011-09-30 00:25:28 overwrite css/style.css 
2011-09-30 07:25:40 overwrite css/style.css 
2011-09-30 07:28:58 overwrite css/style.css 
2011-09-30 07:29:59 overwrite css/style.css 
2011-09-30 07:30:05 overwrite css/style.css 
2011-09-30 13:47:27 overwrite css/style.css 
2011-09-30 13:48:03 overwrite css/style.css 
2011-09-30 13:48:22 overwrite css/style.css 
2011-09-30 13:48:36 overwrite css/style.css 
2011-09-30 14:55:00 overwrite css/style.css 
2011-09-30 20:06:36 overwrite css/style.css 
2011-09-30 20:08:57 overwrite css/style.css 
2011-09-30 20:15:46 overwrite css/style.css 
2011-09-30 20:16:17 overwrite css/style.css 
2011-09-30 20:22:57 overwrite css/style.css 
2011-09-30 20:30:32 overwrite css/style.css 
2011-09-30 20:31:02 overwrite css/style.css 
2011-09-30 20:32:54 overwrite css/style.css 
2011-09-30 20:40:51 overwrite css/style.css 
2011-09-30 20:41:53 overwrite css/style.css 
2011-10-02 11:15:45     error sass/style.scss (Line 2: File to import not found or unreadable: ui.
Load paths:
  /home/robert/Sites/kern/public/sass
  /home/robert/Applications/compass.app/lib/ruby/compass_0.11/compass-0.11.1/frameworks/blueprint/stylesheets
  /home/robert/Applications/compass.app/lib/ruby/compass_0.11/compass-0.11.1/frameworks/compass/stylesheets
  /home/robert/Applications/compass.app/lib/ruby/compass_extensions/compass-960-plugin-0.10.0/lib/../stylesheets
  /home/robert/Applications/compass.app/lib/ruby/compass_0.11/html5-boilerplate-1.0.0/lib/../stylesheets
  )
2011-10-02 11:15:45 overwrite css/style.css 
2011-10-02 11:15:47     error sass/style.scss (Line 2: File to import not found or unreadable: ui.
Load paths:
  /home/robert/Sites/kern/public/sass
  /home/robert/Applications/compass.app/lib/ruby/compass_0.11/compass-0.11.1/frameworks/blueprint/stylesheets
  /home/robert/Applications/compass.app/lib/ruby/compass_0.11/compass-0.11.1/frameworks/compass/stylesheets
  /home/robert/Applications/compass.app/lib/ruby/compass_extensions/compass-960-plugin-0.10.0/lib/../stylesheets
  /home/robert/Applications/compass.app/lib/ruby/compass_0.11/html5-boilerplate-1.0.0/lib/../stylesheets
  )
2011-10-02 11:15:47 identical css/style.css 
2011-10-02 11:16:23     error sass/style.scss (Line 2: File to import not found or unreadable: partials/ui.
Load paths:
  /home/robert/Sites/kern/public/sass
  /home/robert/Applications/compass.app/lib/ruby/compass_0.11/compass-0.11.1/frameworks/blueprint/stylesheets
  /home/robert/Applications/compass.app/lib/ruby/compass_0.11/compass-0.11.1/frameworks/compass/stylesheets
  /home/robert/Applications/compass.app/lib/ruby/compass_extensions/compass-960-plugin-0.10.0/lib/../stylesheets
  /home/robert/Applications/compass.app/lib/ruby/compass_0.11/html5-boilerplate-1.0.0/lib/../stylesheets
  )
2011-10-02 11:16:23 overwrite css/style.css 
2011-10-02 11:16:46     error sass/style.scss (Line 2: File to import not found or unreadable: partials/ui.
Load paths:
  /home/robert/Sites/kern/public/sass
  /home/robert/Applications/compass.app/lib/ruby/compass_0.11/compass-0.11.1/frameworks/blueprint/stylesheets
  /home/robert/Applications/compass.app/lib/ruby/compass_0.11/compass-0.11.1/frameworks/compass/stylesheets
  /home/robert/Applications/compass.app/lib/ruby/compass_extensions/compass-960-plugin-0.10.0/lib/../stylesheets
  /home/robert/Applications/compass.app/lib/ruby/compass_0.11/html5-boilerplate-1.0.0/lib/../stylesheets
  )
2011-10-02 11:16:46 overwrite css/style.css 
2011-10-02 11:16:57     error sass/style.scss (Line 2: File to import not found or unreadable: partials/ui.
Load paths:
  /home/robert/Sites/kern/public/sass
  /home/robert/Applications/compass.app/lib/ruby/compass_0.11/compass-0.11.1/frameworks/blueprint/stylesheets
  /home/robert/Applications/compass.app/lib/ruby/compass_0.11/compass-0.11.1/frameworks/compass/stylesheets
  /home/robert/Applications/compass.app/lib/ruby/compass_extensions/compass-960-plugin-0.10.0/lib/../stylesheets
  /home/robert/Applications/compass.app/lib/ruby/compass_0.11/html5-boilerplate-1.0.0/lib/../stylesheets
  )
2011-10-02 11:16:57 overwrite css/style.css 
2011-10-02 11:17:12     error sass/style.scss (Line 54: Invalid CSS after "  padding: 2px": expected ";", was "&:hover {")
2011-10-02 11:17:12 overwrite css/style.css 
2011-10-02 11:18:09 overwrite css/style.css 
2011-10-02 11:19:59 overwrite css/style.css 
2011-10-02 11:20:49 overwrite css/style.css 
2011-10-02 11:24:49 overwrite css/style.css 
2011-10-02 11:33:25 overwrite css/style.css 
2011-10-02 12:03:40 overwrite css/style.css 
2011-10-02 12:04:25 overwrite css/style.css 
2011-10-02 12:05:14 overwrite css/style.css 
2011-10-02 12:09:35     error sass/style.scss (Line 2: File to import not found or unreadable: base.
Load paths:
  /home/robert/Sites/kern/public/sass
  /home/robert/Applications/compass.app/lib/ruby/compass_0.11/compass-0.11.1/frameworks/blueprint/stylesheets
  /home/robert/Applications/compass.app/lib/ruby/compass_0.11/compass-0.11.1/frameworks/compass/stylesheets
  /home/robert/Applications/compass.app/lib/ruby/compass_extensions/compass-960-plugin-0.10.0/lib/../stylesheets
  /home/robert/Applications/compass.app/lib/ruby/compass_0.11/html5-boilerplate-1.0.0/lib/../stylesheets
  )
2011-10-02 12:09:35 overwrite css/style.css 
2011-10-02 12:10:19 overwrite css/style.css 
2011-10-02 12:11:16 overwrite css/style.css 
2011-10-02 12:12:35 overwrite css/style.css 
2011-10-02 12:14:24 overwrite css/style.css 
2011-10-02 12:16:28 overwrite css/style.css 
2011-10-02 12:17:18 overwrite css/style.css 
2011-10-02 12:19:55 overwrite css/style.css 
2011-10-02 12:21:35 overwrite css/style.css 
2011-10-02 12:23:22 overwrite css/style.css 
2011-10-02 12:25:52 overwrite css/style.css 
2011-10-02 12:25:56 overwrite css/style.css 
2011-10-02 12:27:19 overwrite css/style.css 
2011-10-02 12:28:39 overwrite css/style.css 
2011-10-02 12:28:48 overwrite css/style.css 
2011-10-02 12:28:58 overwrite css/style.css 
2011-10-02 12:30:21 overwrite css/style.css 
2011-10-02 12:31:00 overwrite css/style.css 
2011-10-02 12:31:15 overwrite css/style.css 
2011-10-02 12:31:37 overwrite css/style.css 
2011-10-02 12:31:48 overwrite css/style.css 
2011-10-02 13:00:22 overwrite css/style.css 
2011-10-02 13:04:47 overwrite css/style.css 
2011-10-02 13:05:20 overwrite css/style.css 
2011-10-02 13:06:40 overwrite css/style.css 
2011-10-02 13:07:28 overwrite css/style.css 
2011-10-02 13:08:23 overwrite css/style.css 
2011-10-02 13:08:48 overwrite css/style.css 
2011-10-02 13:09:08 overwrite css/style.css 
2011-10-02 13:09:48 overwrite css/style.css 
2011-10-02 13:10:04 overwrite css/style.css 
2011-10-02 13:14:05 overwrite css/style.css 
2011-10-02 13:16:40 overwrite css/style.css 
2011-10-02 13:16:46 identical css/style.css 
2011-10-02 13:19:04 overwrite css/style.css 
2011-10-02 13:19:23 overwrite css/style.css 
2011-10-02 13:19:43 overwrite css/style.css 
2011-10-02 13:21:32 overwrite css/style.css 
2011-10-02 13:22:12 overwrite css/style.css 
2011-10-02 13:23:23 overwrite css/style.css 
2011-10-02 13:24:11 overwrite css/style.css 
2011-10-02 13:24:28 overwrite css/style.css 
2011-10-02 13:24:41 overwrite css/style.css 
2011-10-02 13:25:40 overwrite css/style.css 
2011-10-02 13:25:56 overwrite css/style.css 
2011-10-02 13:26:38 overwrite css/style.css 
2011-10-02 13:28:29 overwrite css/style.css 
2011-10-02 13:36:19 overwrite css/style.css 
2011-10-02 13:36:31 overwrite css/style.css 
2011-10-02 13:36:51 overwrite css/style.css 
2011-10-02 13:37:05 overwrite css/style.css 
2011-10-02 13:37:53 overwrite css/style.css 
2011-10-02 13:41:42 overwrite css/style.css 
2011-10-02 13:42:52 overwrite css/style.css 
2011-10-02 13:43:08 overwrite css/style.css 
2011-10-02 13:51:55 overwrite css/style.css 
2011-10-02 13:52:23 overwrite css/style.css 
2011-10-02 13:52:38 overwrite css/style.css 
2011-10-02 13:52:41 overwrite css/style.css 
2011-10-02 13:53:51 overwrite css/style.css 
2011-10-02 13:54:30 overwrite css/style.css 
2011-10-02 13:55:18 overwrite css/style.css 
2011-10-02 13:55:32 overwrite css/style.css 
2011-10-02 13:55:52 overwrite css/style.css 
2011-10-02 13:56:05 overwrite css/style.css 
2011-10-02 13:57:40 overwrite css/style.css 
2011-10-02 13:57:53 overwrite css/style.css 
2011-10-02 13:58:11 overwrite css/style.css 
2011-10-02 13:58:23 overwrite css/style.css 
2011-10-02 13:58:43 overwrite css/style.css 
2011-10-02 13:59:02 overwrite css/style.css 
2011-10-02 13:59:27 overwrite css/style.css 
2011-10-02 14:00:17 overwrite css/style.css 
2011-10-02 14:01:22 overwrite css/style.css 
2011-10-02 14:01:52 overwrite css/style.css 
2011-10-02 14:01:59 overwrite css/style.css 
2011-10-02 14:02:49 overwrite css/style.css 
2011-10-02 14:02:59 overwrite css/style.css 
2011-10-02 14:03:15 overwrite css/style.css 
2011-10-02 14:04:23 overwrite css/style.css 
2011-10-02 14:04:41 overwrite css/style.css 
2011-10-02 14:05:02 overwrite css/style.css 
2011-10-02 14:05:27 overwrite css/style.css 
2011-10-02 14:08:25 overwrite css/style.css 
2011-10-02 14:09:27 overwrite css/style.css 
2011-10-02 14:09:52 overwrite css/style.css 
2011-10-02 14:10:38 overwrite css/style.css 
2011-10-02 14:10:58 overwrite css/style.css 
2011-10-02 14:11:30 overwrite css/style.css 
2011-10-02 14:11:49 overwrite css/style.css 
2011-10-02 14:12:00 overwrite css/style.css 
2011-10-02 14:12:22 overwrite css/style.css 
2011-10-02 14:12:32 overwrite css/style.css 
2011-10-02 14:12:42 overwrite css/style.css 
2011-10-02 14:13:11 overwrite css/style.css 
2011-10-02 14:13:40 overwrite css/style.css 
2011-10-02 14:13:59 overwrite css/style.css 
2011-10-02 14:14:41 overwrite css/style.css 
2011-10-02 14:15:37 overwrite css/style.css 
2011-10-02 14:15:53 overwrite css/style.css 
2011-10-02 14:16:32 overwrite css/style.css 
2011-10-02 14:17:04 overwrite css/style.css 
2011-10-02 14:18:02 overwrite css/style.css 
2011-10-02 14:18:13 overwrite css/style.css 
2011-10-02 14:18:33 overwrite css/style.css 
2011-10-02 14:18:42 overwrite css/style.css 
2011-10-02 14:18:47 overwrite css/style.css 
2011-10-04 01:43:00 overwrite css/style.css 
2011-10-04 01:43:29 overwrite css/style.css 
2011-10-04 01:44:23 overwrite css/style.css 
2011-10-04 01:48:11 overwrite css/style.css 
2011-10-04 01:48:51 overwrite css/style.css 
2011-10-04 01:49:15 overwrite css/style.css 
2011-10-04 01:50:17 overwrite css/style.css 
2011-10-04 01:50:31 overwrite css/style.css 
2011-10-04 01:50:42 overwrite css/style.css 
2011-10-04 01:50:50 overwrite css/style.css 
2011-10-04 01:50:57 overwrite css/style.css 
2011-10-04 01:51:17 overwrite css/style.css 
2011-10-04 01:52:00 overwrite css/style.css 
2011-10-04 01:53:00 overwrite css/style.css 
2011-10-04 01:53:43 overwrite css/style.css 
2011-10-04 01:54:11 overwrite css/style.css 
2011-10-04 01:54:31 overwrite css/style.css 
2011-10-04 01:55:00 overwrite css/style.css 
2011-10-04 01:55:23 overwrite css/style.css 
2011-10-04 01:55:47 overwrite css/style.css 
2011-10-04 01:55:59 overwrite css/style.css 
2011-10-04 01:56:36 overwrite css/style.css 
2011-10-04 01:57:31 overwrite css/style.css 
2011-10-04 01:57:44 overwrite css/style.css 
2011-10-04 01:58:14 overwrite css/style.css 
2011-10-04 01:59:03 overwrite css/style.css 
2011-10-04 01:59:25 overwrite css/style.css 
2011-10-04 01:59:41 overwrite css/style.css 
2011-10-04 02:00:38 overwrite css/style.css 
2011-10-04 02:02:15 overwrite css/style.css 
2011-10-04 02:02:42 overwrite css/style.css 
2011-10-04 02:02:46 overwrite css/style.css 
2011-10-04 02:03:12 overwrite css/style.css 
2011-10-04 02:03:23 overwrite css/style.css 
2011-10-04 02:03:30 overwrite css/style.css 
2011-10-04 02:03:43 overwrite css/style.css 
2011-10-04 02:03:56 overwrite css/style.css 
2011-10-04 02:04:16 overwrite css/style.css 
2011-10-04 02:04:28 overwrite css/style.css 
2011-10-04 02:04:34 overwrite css/style.css 
2011-10-04 02:08:30 overwrite css/style.css 
2011-10-04 02:09:18 overwrite css/style.css 
2011-10-04 02:10:42 overwrite css/style.css 
2011-10-04 02:11:25 overwrite css/style.css 
2011-10-04 02:11:41 overwrite css/style.css 
2011-10-08 18:44:40 overwrite css/style.css 
2011-10-08 18:45:44 overwrite css/style.css 
2011-10-08 18:48:25 overwrite css/style.css 
2011-10-09 11:08:05 overwrite css/style.css 
2011-10-09 11:13:48 overwrite css/style.css 
2011-10-09 11:42:09 overwrite css/style.css 
2011-10-09 11:49:14 overwrite css/style.css 
2011-10-09 11:49:55 overwrite css/style.css 
2011-10-09 11:50:14 overwrite css/style.css 
2011-10-09 11:51:53 overwrite css/style.css 
2011-10-09 11:53:18 overwrite css/style.css 
2011-10-09 11:54:33 overwrite css/style.css 
2011-10-09 11:55:02 overwrite css/style.css 
2011-10-09 11:55:20 overwrite css/style.css 
2011-10-09 11:56:31 overwrite css/style.css 
2011-10-09 11:57:00 overwrite css/style.css 
2011-10-09 11:57:48 overwrite css/style.css 
2011-10-09 11:58:30 overwrite css/style.css 
2011-10-09 11:58:34 identical css/style.css 
